MainType,Diameter,InstallDate,Material
Distribution,10,11/14/2003 10:26,Galvanized Iron
Distribution,12,10/2/1999 19:26,Ductile Iron
Distribution,8,6/27/1990 23:33,Galvanized Iron
Distribution,8,8/18/2004 15:49,Copper
Distribution,12,2/3/2015 15:45,Copper
Transmission,32,2/5/2020 10:14,Ductile Iron
Distribution,6,5/16/2011 18:45,Ductile Iron
Transmission,24,1/6/2021 5:45,Cast Iron
Distribution,12,12/10/2018 0:52,Galvanized Iron
Distribution,14,10/3/2020 14:41,Ductile Iron
Distribution,14,12/15/2012 5:29,Copper
Distribution,12,1/16/2012 21:23,Cast Iron
Distribution,8,1/30/2016 5:09,Galvanized Iron
Distribution,6,11/23/2019 22:32,Copper
Distribution,8,5/13/2017 19:17,Ductile Iron
Distribution,12,11/28/2013 10:12,Galvanized Iron
Distribution,6,2/15/2020 12:21,Galvanized Iron
Distribution,12,5/5/2013 9:55,Cast Iron
Distribution,14,4/8/2001 19:53,Copper
Distribution,6,8/8/2021 11:55,Cast Iron
Distribution,12,12/28/2018 3:59,Cast Iron
Distribution,6,2/13/2007 3:50,Galvanized Iron
Distribution,6,3/10/1986 12:54,Ductile Iron
Distribution,12,10/5/2012 1:54,Copper
Distribution,8,11/20/2018 2:01,Ductile Iron
Distribution,8,12/24/2020 21:10,Copper
Distribution,14,8/8/2012 20:13,Galvanized Iron
Distribution,12,5/28/2003 1:28,Cast Iron
Distribution,14,5/30/2009 8:39,Copper
Distribution,12,4/29/2006 17:08,Ductile Iron
Distribution,8,4/8/2010 5:24,Cast Iron
Distribution,6,2/7/2015 15:06,Cast Iron
Distribution,14,5/19/2008 22:43,Cast Iron
Distribution,8,9/22/2021 4:48,Galvanized Iron
Distribution,12,8/26/1991 16:23,Galvanized Iron
Distribution,14,1/19/2007 11:15,Ductile Iron
Distribution,6,11/13/2017 9:41,Copper
Distribution,10,9/17/2019 1:12,Ductile Iron
Distribution,12,10/1/2021 0:39,Cast Iron
Distribution,8,4/7/2014 10:56,Cast Iron
Distribution,14,6/14/2015 14:59,Copper
Distribution,6,5/19/2001 15:26,Copper
Distribution,8,11/13/2017 17:59,Ductile Iron
Distribution,14,10/5/2015 0:44,Cast Iron
Distribution,14,8/21/1995 12:00,Copper
Distribution,10,5/11/2021 18:18,Copper
Distribution,10,11/1/2014 6:11,Cast Iron
Distribution,8,10/12/2019 17:45,Ductile Iron
Distribution,14,10/8/2017 1:13,Galvanized Iron
Distribution,14,4/14/2021 3:40,Cast Iron
Distribution,6,9/25/2012 7:55,Copper
Distribution,14,9/1/2019 23:47,Cast Iron
Distribution,14,7/6/2012 4:56,Cast Iron
Distribution,14,11/12/1988 8:30,Galvanized Iron
Distribution,6,4/5/2015 4:11,Cast Iron
Distribution,8,4/8/2005 2:40,Ductile Iron
Distribution,6,4/14/2017 22:59,Copper
Distribution,10,11/24/2015 9:50,Ductile Iron
Distribution,8,3/4/2020 8:09,Galvanized Iron
Distribution,14,10/5/1995 12:40,Copper
Distribution,6,10/21/2002 14:41,Cast Iron
Distribution,14,1/16/2021 0:59,Ductile Iron
Distribution,12,11/29/2010 20:01,Galvanized Iron
Distribution,10,9/19/2021 19:13,Copper
Distribution,8,5/12/2012 21:36,Copper
Distribution,8,2/2/2020 15:22,Copper
Distribution,12,8/7/2018 9:47,Galvanized Iron
Distribution,6,8/23/2015 20:21,Copper
Transmission,24,5/7/2012 5:23,Copper
Transmission,24,2/12/2011 12:08,Cast Iron
Distribution,14,4/4/2005 9:01,Galvanized Iron
Distribution,10,2/16/2021 0:07,Ductile Iron
Distribution,6,6/1/2015 3:25,Galvanized Iron
Distribution,8,9/25/2001 0:55,Galvanized Iron
Distribution,8,5/18/2010 7:32,Cast Iron
Distribution,12,5/8/2006 4:18,Galvanized Iron
Distribution,12,12/20/2021 22:05,Galvanized Iron
Distribution,6,4/11/2019 8:21,Copper
Distribution,12,12/23/1997 7:59,Ductile Iron
Distribution,6,6/30/2013 22:15,Cast Iron
Distribution,10,5/8/2012 7:47,Copper
Distribution,6,10/11/2009 19:40,Galvanized Iron
Distribution,6,7/17/2019 0:29,Galvanized Iron
Distribution,8,11/21/2015 7:56,Ductile Iron
Distribution,12,10/21/2014 23:44,Copper
Distribution,10,8/27/2012 0:19,Copper
Distribution,12,4/16/2020 5:21,Galvanized Iron
Distribution,12,10/9/2004 12:32,Galvanized Iron
Distribution,6,3/15/2020 1:48,Ductile Iron
Distribution,6,11/25/2012 16:58,Cast Iron
Distribution,8,1/17/2008 21:34,Ductile Iron
Distribution,10,9/29/2009 18:57,Galvanized Iron
Distribution,8,3/14/2020 17:55,Galvanized Iron
Distribution,6,1/22/2021 13:29,Cast Iron
Distribution,6,6/29/2010 10:09,Copper
Transmission,36,7/18/2014 12:35,Cast Iron
Transmission,36,3/14/2020 1:47,Cast Iron
Distribution,12,3/13/2014 6:05,Galvanized Iron
Distribution,8,4/24/2019 11:56,Ductile Iron
Distribution,14,2/3/2019 22:53,Cast Iron
Distribution,12,12/17/2004 12:18,Galvanized Iron
Distribution,14,6/28/2000 9:46,Ductile Iron
Distribution,14,4/11/1998 4:56,Cast Iron
Transmission,36,10/26/2014 5:15,Galvanized Iron
Distribution,6,9/20/2013 0:06,Galvanized Iron
Distribution,14,4/13/2021 1:20,Galvanized Iron
Distribution,6,11/22/2018 20:19,Galvanized Iron
Distribution,8,2/27/2015 4:22,Galvanized Iron
Distribution,8,1/27/2015 9:42,Ductile Iron
Distribution,12,3/11/2014 20:57,Cast Iron
Distribution,10,12/14/2005 19:47,Ductile Iron
Distribution,12,5/17/2020 17:19,Cast Iron
Distribution,8,9/17/2017 13:06,Cast Iron
Distribution,14,1/11/2019 14:19,Ductile Iron
Distribution,12,7/16/2021 16:50,Ductile Iron
Distribution,12,10/14/2021 5:01,Galvanized Iron
Distribution,8,1/8/2014 18:19,Copper
Distribution,12,2/9/2011 23:20,Copper
Distribution,6,6/14/2004 5:22,Galvanized Iron
Distribution,8,3/28/2016 17:08,Copper
Distribution,10,7/1/1994 4:11,Ductile Iron
Distribution,14,7/16/2012 20:18,Copper
Distribution,6,8/2/2012 4:05,Ductile Iron
Distribution,12,10/11/2018 17:34,Cast Iron
Distribution,12,10/15/2013 19:25,Galvanized Iron
Distribution,8,5/7/2014 18:58,Copper
Distribution,6,4/1/2021 8:52,Cast Iron
Distribution,8,12/14/2019 15:30,Cast Iron
Distribution,14,12/3/1990 4:30,Galvanized Iron
Distribution,10,8/9/2013 2:44,Cast Iron
Distribution,6,5/3/2005 1:31,Cast Iron
Distribution,8,1/1/1980 13:30,Copper
Distribution,6,1/22/2002 5:30,Cast Iron
Distribution,14,12/21/2007 20:04,Cast Iron
Distribution,6,1/21/2014 16:10,Galvanized Iron
Distribution,8,1/23/1999 7:09,Galvanized Iron
Distribution,14,12/8/2013 21:03,Galvanized Iron
Distribution,10,7/26/2012 13:46,Ductile Iron
Distribution,10,11/11/2017 15:43,Ductile Iron
Distribution,8,5/25/2006 23:33,Galvanized Iron
Distribution,10,2/24/2020 19:10,Ductile Iron
Distribution,8,1/4/2016 1:25,Galvanized Iron
Distribution,8,7/22/2019 3:50,Galvanized Iron
Distribution,8,7/29/2020 11:42,Copper
Distribution,12,1/5/2018 1:37,Ductile Iron
Distribution,6,12/10/2015 5:32,Copper
Distribution,6,12/18/2015 6:51,Ductile Iron
Distribution,8,10/12/2021 12:02,Cast Iron
Distribution,6,12/4/2018 6:57,Copper
Distribution,12,12/7/2014 3:56,Galvanized Iron
Distribution,8,11/6/2018 10:16,Copper
Distribution,14,3/26/2020 1:45,Cast Iron
Distribution,6,8/14/2003 11:12,Ductile Iron
Transmission,36,1/25/2021 5:46,Galvanized Iron
Distribution,12,12/30/2019 23:03,Ductile Iron
Distribution,8,2/10/2021 14:41,Galvanized Iron
Distribution,6,3/2/2017 22:12,Cast Iron
Distribution,6,1/24/2006 5:52,Cast Iron
Distribution,8,4/20/2015 10:59,Galvanized Iron
Distribution,8,1/1/1980 13:30,Galvanized Iron
Distribution,14,10/16/2020 16:25,Cast Iron
Distribution,6,6/20/2021 17:50,Copper
Distribution,14,5/27/2020 8:48,Ductile Iron
Distribution,6,10/22/2021 4:12,Cast Iron
Distribution,10,4/24/1997 18:15,Ductile Iron
Distribution,10,4/23/2000 6:18,Galvanized Iron
Distribution,8,11/25/1987 6:13,Galvanized Iron
Distribution,12,7/24/2021 1:36,Galvanized Iron
Distribution,6,2/24/2015 9:24,Copper
Distribution,12,10/12/2011 20:12,Cast Iron
Distribution,14,3/1/2017 19:29,Copper
Distribution,8,5/3/2005 7:35,Copper
Distribution,10,4/20/2011 23:07,Cast Iron
Distribution,6,9/17/2005 8:16,Ductile Iron
Distribution,8,5/19/2021 6:09,Copper
Distribution,10,8/4/2018 4:55,Ductile Iron
Distribution,6,8/11/2020 16:45,Copper
Distribution,14,11/16/2015 18:30,Copper
Distribution,6,6/11/2017 10:14,Copper
Distribution,12,10/6/2007 2:14,Cast Iron
Distribution,8,11/18/2019 18:41,Copper
Distribution,12,7/17/2003 9:14,Cast Iron
Distribution,6,6/30/2020 5:31,Ductile Iron
Distribution,14,11/30/2018 17:21,Galvanized Iron
Distribution,8,10/25/2013 14:23,Cast Iron
Distribution,8,12/1/2019 7:20,Galvanized Iron
Distribution,6,6/24/2016 14:24,Galvanized Iron
Distribution,14,8/11/2021 23:31,Galvanized Iron
Distribution,12,10/2/2015 9:01,Ductile Iron
Distribution,14,11/7/2011 17:31,Cast Iron
Distribution,8,7/27/2020 0:16,Galvanized Iron
Distribution,12,3/12/1997 20:46,Copper
Distribution,6,6/20/2008 7:55,Copper
Distribution,8,3/17/2007 16:39,Galvanized Iron
Distribution,12,4/12/2021 16:35,Cast Iron
Distribution,14,1/31/2021 5:46,Ductile Iron
Distribution,10,11/8/2016 20:45,Ductile Iron
Distribution,12,1/16/2021 10:43,Galvanized Iron
Distribution,12,9/26/2010 4:56,Ductile Iron
Transmission,36,4/2/2014 5:00,Ductile Iron
Distribution,6,11/10/2020 15:57,Galvanized Iron
Distribution,10,5/8/2019 16:41,Galvanized Iron
Distribution,12,11/11/2013 7:59,Copper
Distribution,8,12/8/2018 1:55,Copper
Distribution,6,11/19/2012 5:41,Cast Iron
Distribution,6,5/15/1999 14:34,Copper
Distribution,12,2/7/2010 4:14,Cast Iron
Distribution,10,2/8/2003 7:51,Ductile Iron
Distribution,8,9/7/2019 20:15,Galvanized Iron
Distribution,14,9/27/2014 17:08,Cast Iron
Distribution,6,9/28/1999 11:39,Ductile Iron
Distribution,12,3/22/2009 0:44,Galvanized Iron
Distribution,8,12/14/2019 22:13,Cast Iron
Distribution,8,12/29/2014 8:57,Galvanized Iron
Distribution,10,10/12/2017 21:46,Copper
Distribution,10,3/26/2011 20:18,Ductile Iron
Distribution,6,2/1/2020 13:21,Galvanized Iron
Distribution,6,1/27/2020 6:31,Galvanized Iron
Distribution,6,9/16/1981 4:05,Ductile Iron
Distribution,10,2/18/2021 21:10,Cast Iron
Distribution,10,11/11/2007 2:09,Galvanized Iron
Distribution,6,12/25/2021 18:24,Ductile Iron
Distribution,14,6/6/2013 16:27,Galvanized Iron
Distribution,12,11/12/2020 13:35,Copper
Distribution,14,4/18/2004 7:59,Ductile Iron
Distribution,10,11/22/2019 19:11,Cast Iron
Distribution,14,9/27/2018 5:00,Copper
Distribution,10,7/20/2017 19:38,Galvanized Iron
Distribution,10,12/5/2018 23:12,Galvanized Iron
Distribution,10,10/10/2011 3:34,Ductile Iron
Distribution,10,8/19/2015 9:55,Cast Iron
Distribution,8,2/11/2019 7:14,Galvanized Iron
Distribution,14,5/7/2015 18:51,Cast Iron
Distribution,14,7/30/2009 11:22,Galvanized Iron
Distribution,8,2/16/2020 1:02,Copper
Distribution,10,7/31/2016 23:18,Copper
Distribution,14,11/13/2010 23:01,Ductile Iron
Distribution,12,8/26/2021 14:44,Cast Iron
Distribution,8,2/14/1998 0:51,Copper
Distribution,12,1/11/2021 20:42,Copper
Distribution,14,11/29/2018 9:30,Cast Iron
Distribution,12,4/22/2002 3:51,Cast Iron
Distribution,8,8/7/2003 10:48,Copper
Distribution,10,7/22/1993 2:26,Cast Iron
Distribution,8,9/20/2014 12:16,Ductile Iron
Distribution,10,2/20/1997 22:05,Cast Iron
Distribution,14,7/28/2012 17:05,Cast Iron
Distribution,14,12/30/2020 11:03,Copper
Distribution,12,8/25/1995 22:30,Cast Iron
Distribution,12,11/26/2012 15:40,Ductile Iron
Distribution,6,1/1/1980 13:30,Galvanized Iron
Distribution,8,2/12/2020 21:36,Cast Iron
Distribution,10,11/12/2008 4:58,Copper
Distribution,10,3/24/2002 23:52,Ductile Iron
Distribution,8,6/2/2012 22:56,Ductile Iron
Distribution,10,1/5/2021 13:17,Ductile Iron
Distribution,12,12/26/2020 22:31,Galvanized Iron
Distribution,8,9/14/2015 18:46,Copper
Distribution,14,11/23/2015 15:19,Ductile Iron
Distribution,10,3/10/2015 15:14,Cast Iron
Distribution,14,2/6/2008 16:07,Ductile Iron
Distribution,12,9/8/2015 9:02,Cast Iron
Distribution,12,1/11/2016 21:35,Galvanized Iron
Distribution,12,3/25/2021 2:35,Ductile Iron
Distribution,12,7/28/2011 15:04,Copper
Distribution,14,1/31/2006 13:41,Cast Iron
Transmission,24,1/1/1980 13:30,Copper
Distribution,12,9/21/2003 2:06,Galvanized Iron
Distribution,10,5/5/1998 6:37,Copper
Distribution,8,3/23/2019 10:18,Galvanized Iron
Distribution,8,2/6/2006 8:53,Cast Iron
Distribution,8,7/20/2013 12:42,Galvanized Iron
Distribution,12,3/13/2020 4:26,Ductile Iron
Distribution,6,8/7/2019 10:45,Cast Iron
Distribution,14,7/11/2003 20:51,Ductile Iron
Distribution,12,4/28/2020 23:01,Cast Iron
Distribution,12,12/25/2021 21:23,Galvanized Iron
Distribution,14,1/25/2011 1:33,Ductile Iron
Distribution,14,12/3/2011 19:31,Galvanized Iron
Distribution,6,3/2/2018 7:09,Copper
Distribution,12,9/4/2015 8:52,Galvanized Iron
Distribution,14,7/5/2015 12:58,Copper
Distribution,10,10/13/2016 4:02,Ductile Iron
Distribution,12,5/26/2020 14:06,Ductile Iron
Distribution,14,12/17/2019 18:35,Copper
Distribution,10,11/2/2004 7:43,Ductile Iron
Distribution,10,7/26/1997 7:47,Cast Iron
Distribution,12,2/13/2012 9:22,Cast Iron
Distribution,8,11/16/2007 0:45,Copper
Distribution,12,2/26/2012 4:03,Ductile Iron
Distribution,8,4/22/2021 21:18,Ductile Iron
Distribution,10,11/4/2017 16:51,Cast Iron
Distribution,6,2/25/2018 3:19,Galvanized Iron
Distribution,8,4/8/2015 8:21,Galvanized Iron
Distribution,10,1/7/1999 6:00,Ductile Iron
Distribution,14,6/21/2010 11:26,Galvanized Iron
Distribution,14,7/11/1992 21:04,Ductile Iron
Distribution,10,2/9/2012 19:05,Cast Iron
Distribution,6,11/3/2008 13:02,Copper
Distribution,10,6/24/2016 13:37,Cast Iron
Distribution,14,10/31/2010 18:08,Cast Iron
Distribution,6,10/3/1998 14:55,Copper
Distribution,14,3/8/2019 4:51,Ductile Iron
Distribution,10,12/7/2019 21:46,Galvanized Iron
Distribution,8,6/24/2017 5:55,Copper
Distribution,6,1/21/2017 13:33,Cast Iron
Distribution,8,8/10/2013 12:41,Galvanized Iron
Distribution,8,2/15/2019 13:01,Galvanized Iron
Distribution,12,5/18/2006 10:09,Cast Iron
Transmission,28,5/21/2021 10:36,Ductile Iron
Distribution,8,5/4/2021 16:16,Cast Iron
Distribution,10,11/26/2016 23:51,Cast Iron
Distribution,14,9/12/2019 22:42,Ductile Iron
Distribution,8,9/24/2016 16:47,Cast Iron
Distribution,14,3/16/2008 22:00,Galvanized Iron
Distribution,8,9/25/2020 7:22,Galvanized Iron
Distribution,6,3/3/1991 0:05,Cast Iron
Distribution,8,7/7/2009 9:44,Copper
Distribution,10,4/24/2012 14:14,Cast Iron
Distribution,14,6/9/2008 15:42,Cast Iron
Distribution,6,8/20/2010 17:31,Galvanized Iron
Distribution,10,1/26/2019 8:13,Galvanized Iron
Distribution,8,3/28/2020 15:47,Cast Iron
Distribution,12,11/14/2020 5:34,Galvanized Iron
Distribution,8,2/16/2014 13:13,Copper
Distribution,10,2/11/2010 1:00,Galvanized Iron
Distribution,14,1/30/2021 7:01,Cast Iron
Distribution,10,12/14/2021 9:26,Copper
Distribution,12,9/16/2011 6:52,Cast Iron
Distribution,12,9/27/2017 11:02,Galvanized Iron
Distribution,12,12/27/2012 20:24,Copper
Distribution,6,11/28/2008 12:35,Cast Iron
Distribution,12,10/20/2021 6:30,Ductile Iron
Distribution,6,1/7/2021 7:28,Galvanized Iron
Distribution,10,8/30/2014 3:09,Ductile Iron
Distribution,6,12/10/2004 2:23,Galvanized Iron
Distribution,8,9/22/2000 23:33,Copper
Distribution,12,11/24/2016 14:14,Galvanized Iron
Distribution,8,7/25/2018 21:05,Copper
Distribution,14,5/22/2016 0:33,Ductile Iron
Distribution,8,12/3/2001 1:21,Cast Iron
Distribution,10,10/1/2018 1:09,Cast Iron
Distribution,10,1/27/2020 2:37,Galvanized Iron
Distribution,6,6/13/2019 1:01,Cast Iron
Distribution,10,3/4/2017 4:37,Galvanized Iron
Distribution,10,11/13/2004 5:58,Copper
Distribution,10,6/17/2017 6:42,Cast Iron
Transmission,32,10/18/2019 23:14,Ductile Iron
Transmission,28,12/2/2018 10:16,Ductile Iron
Distribution,8,7/17/2006 19:29,Cast Iron
Transmission,36,4/11/2020 12:18,Cast Iron
Distribution,14,2/17/2018 8:42,Copper
Distribution,8,5/5/2021 20:12,Galvanized Iron
Distribution,14,10/14/2018 9:05,Galvanized Iron
Distribution,8,10/11/2019 4:39,Galvanized Iron
Distribution,10,1/25/2012 11:01,Galvanized Iron
Distribution,10,8/30/2019 17:14,Copper
Distribution,14,12/20/1993 4:18,Cast Iron
Distribution,14,7/6/2006 13:14,Ductile Iron
Distribution,10,6/19/2002 11:23,Galvanized Iron
Distribution,14,7/24/2011 20:55,Copper
Distribution,14,10/4/2017 22:45,Cast Iron
Distribution,14,9/2/1994 8:07,Ductile Iron
Distribution,14,10/17/2015 6:19,Galvanized Iron
Distribution,8,4/29/2018 1:21,Galvanized Iron
Distribution,14,2/27/2012 1:18,Galvanized Iron
Distribution,12,12/29/2014 22:10,Galvanized Iron
Distribution,14,10/7/2017 23:06,Ductile Iron
Distribution,14,12/18/2019 18:33,Cast Iron
Transmission,24,9/16/2011 3:07,Galvanized Iron
Distribution,12,4/16/2007 17:49,Ductile Iron
Distribution,12,10/21/2020 23:18,Copper
Distribution,6,4/30/2018 3:17,Ductile Iron
Distribution,14,7/5/1992 15:11,Galvanized Iron
